AUC	fold	Run	group
0.37037	3	41	DataDriven
0.35802	3	42	DataDriven
0.46914	3	43	DataDriven
0.40741	3	44	DataDriven
0.49383	3	45	DataDriven
0.49383	3	46	DataDriven
0.51852	3	47	DataDriven
0.62963	3	48	DataDriven
0.38272	3	49	DataDriven
0.51852	3	50	DataDriven
0.34568	3	51	DataDriven
0.5679	3	52	DataDriven
0.46914	3	53	DataDriven
0.55556	3	54	DataDriven
0.50617	3	55	DataDriven
0.53086	3	56	DataDriven
0.50617	3	57	DataDriven
0.45679	3	58	DataDriven
0.44444	3	59	DataDriven
0.48148	3	60	DataDriven
0.64198	3	61	DataDriven
0.4321	3	62	DataDriven
0.53086	3	63	DataDriven
0.48148	3	64	DataDriven
0.49383	3	65	DataDriven
0.7284	3	66	DataDriven
0.48148	3	67	DataDriven
0.62963	3	68	DataDriven
0.51852	3	69	DataDriven
0.60494	3	70	DataDriven
0.65432	3	71	DataDriven
0.5679	3	72	DataDriven
0.54321	3	73	DataDriven
0.45679	3	74	DataDriven
0.46914	3	75	DataDriven
0.39506	4	1	DataDriven
0.54321	4	2	DataDriven
0.53086	4	3	DataDriven
0.46914	4	4	DataDriven
0.77778	4	5	DataDriven
0.77778	4	6	DataDriven
0.7037	4	7	DataDriven
0.54321	4	8	DataDriven
0.65432	4	9	DataDriven
0.71605	4	10	DataDriven
0.53086	4	11	DataDriven
0.35802	4	12	DataDriven
0.37037	4	13	DataDriven
0.60494	4	14	DataDriven
0.46914	4	15	DataDriven
0.58025	4	16	DataDriven
0.58025	4	17	DataDriven
0.51852	4	18	DataDriven
0.38272	4	19	DataDriven
0.7037	4	20	DataDriven
0.49383	4	21	DataDriven
0.38272	4	22	DataDriven
0.48148	4	23	DataDriven
0.50617	4	24	DataDriven
0.46914	4	25	DataDriven
0.48148	4	26	DataDriven
0.65432	4	27	DataDriven
0.62963	4	28	DataDriven
0.40741	4	29	DataDriven
0.76543	4	30	DataDriven
0.61728	4	31	DataDriven
0.44444	4	32	DataDriven
0.46914	4	33	DataDriven
0.61728	4	34	DataDriven
0.59259	4	35	DataDriven
0.38272	4	36	DataDriven
0.46914	4	37	DataDriven
0.51852	4	38	DataDriven
0.5679	4	39	DataDriven
0.59259	4	40	DataDriven
0.58025	4	41	DataDriven
0.48148	4	42	DataDriven
0.38272	4	43	DataDriven
0.46914	4	44	DataDriven
0.59259	4	45	DataDriven
0.60494	4	46	DataDriven
0.48148	4	47	DataDriven
0.45679	4	48	DataDriven
0.55556	4	49	DataDriven
0.41975	4	50	DataDriven
0.65432	4	51	DataDriven
0.64198	4	52	DataDriven
0.61728	4	53	DataDriven
0.65432	4	54	DataDriven
0.46914	4	55	DataDriven
0.49383	4	56	DataDriven
0.64198	4	57	DataDriven
0.51852	4	58	DataDriven
0.65432	4	59	DataDriven
0.58025	4	60	DataDriven
0.62963	4	61	DataDriven
0.58025	4	62	DataDriven
0.69136	4	63	DataDriven
0.55556	4	64	DataDriven
0.46914	4	65	DataDriven
0.4321	4	66	DataDriven
0.5679	4	67	DataDriven
0.50617	4	68	DataDriven
0.2716	4	69	DataDriven
0.59259	4	70	DataDriven
0.40741	4	71	DataDriven
0.5679	4	72	DataDriven
0.38272	4	73	DataDriven
0.44444	4	74	DataDriven
0.48765	4	75	DataDriven
0.22222	5	1	DataDriven
0.12346	5	2	DataDriven
0.24691	5	3	DataDriven
0.25926	5	4	DataDriven
0.23457	5	5	DataDriven
0.25926	5	6	DataDriven
0.37037	5	7	DataDriven
0.33333	5	8	DataDriven
0.44444	5	9	DataDriven
0.2716	5	10	DataDriven
0.44444	5	11	DataDriven
0.38272	5	12	DataDriven
0.59259	5	13	DataDriven
0.45679	5	14	DataDriven
0.35802	5	15	DataDriven
0.34568	5	16	DataDriven
0.2963	5	17	DataDriven
0.23457	5	18	DataDriven
0.32099	5	19	DataDriven
0.4321	5	20	DataDriven
0.2963	5	21	DataDriven
0.41975	5	22	DataDriven
0.23457	5	23	DataDriven
0.5679	5	24	DataDriven
0.33333	5	25	DataDriven
0.37037	5	26	DataDriven
0.55556	5	27	DataDriven
0.38272	5	28	DataDriven
0.50617	5	29	DataDriven
0.49383	5	30	DataDriven
0.50617	5	31	DataDriven
0.46914	5	32	DataDriven
0.48148	5	33	DataDriven
0.41975	5	34	DataDriven
0.45679	5	35	DataDriven
0.2716	5	36	DataDriven
