AON_L	AON_R	APH_L	APH_R	CaB_L	CaB_R	CEN_L	CEN_R	CgGc_L	CgGc_R	CgGr_L	CgGr_R	CoA_L	CoA_R	Cun_L	Cun_R	FuGt_L	FuGt_R	HiB_L	HiB_R	HiH_L	HiH_R	HiT_L	HiT_R	IFGop_L	IFGop_R	IFGtr_L	IFGtr_R	ITG_L	ITG_R	La_L	La_R	LiG_L	LIG_L	LiG_R	LIG_R	MFG_L	MFG_R	MTG_L	MTG_R	PaO_L	PaO_R	Pir_L	Pir_R	PoCG_L	PoCG_R	POrG_L	POrG_R	PPH_L	PPH_R	PrCG_L	PrCG_R	PRG_L	PRG_R	Pu_L	Pu_R	ReG_L	ReG_R	RoG_L	RoG_R	SCG_L	SCG_R	SIG_L	SIG_R	SMG_L	SMG_R	SOG_L	SOG_R	SPL_L	SPL_R	STG_L	STG_R	TP_L	TP_R	TTG_L	TTG_R
-4.16609829034946	-2.21203309545154	-2.86878748850718	-2.02460746954865	-2.95297653090003	-2.75054303514196	-3.39474254831846	-3.30346412088889	-2.68895143694309	-2.17595775530614	-2.70334604698871	-3.1046126238092	-1.86796115262744	-2.68556911766079	-2.24320015475817	-2.29748721848441	-2.75271159251819	-3.22310735689233	-2.97357873020478	-3.09600388050644	-2.64506820304813	-2.41907217666365	-3.3643668157612	-2.89741643979897	-3.21246405357409	-2.95105651513215	-2.36226344452164	-2.30853496206804	-1.08580561555252	-2.0854148267433	-3.05604531114239	-2.64953918794331	-2.78129437160525	-2.20193874861547	-2.51769700583537	-2.2685004049098	-2.89278877124961	-2.06538000337267	-2.66516451500181	-2.29493550672771	-2.19015414992286	-3.13354839485479	-2.24069407805507	-2.44089203613599	-3.28783303261845	-2.40103620607947	-2.46457512103048	-2.47154187256886	-3.14277323323911	-2.89693513895076	-3.64869756847398	-3.43834983908104	-1.74813439881976	-1.92953382096926	-2.76507063682332	-2.75298946755236	-2.7879006167166	-3.10551002780154	-2.15369395792457	-2.02190350191256	-0.27792133633832	-0.0925076771637833	-2.79539395628601	-3.03868549619683	-3.06693966769747	-3.65079106311984	-2.7191629333448	-2.44954009538273	-3.32837019253367	-2.94556392275278	-3.25913787968881	-2.87431527310464	-2.70359019681264	-1.72783367082129	-2.6516321023543	-2.26828025572692
-2.21203309545154	-3.26637585746601	-2.25032568437503	-2.19390660838579	-2.23441829161482	-2.14609622047044	-2.85701934832615	-2.84668612585125	-1.90265615446418	-1.5509391091487	-2.21765032410433	-2.58169424420862	-1.85391710423767	-1.86886002052285	-2.72626865405665	-2.56569583541652	-2.1932763749603	-1.64687476300982	-2.20332668018899	-2.18545491642797	-1.98634447945486	-1.82429217799297	-2.65159626198355	-2.43218012603234	-2.36654415282846	-2.23944126890614	-1.58983084996089	-1.66586246835709	-1.6631283289368	-1.87438592927802	-1.6225634722723	-1.82896187602376	-1.83682118366634	-1.69868135711223	-2.59702688479563	-1.72502293835144	-2.02322186154372	-2.23799153200787	-2.25777430240418	-2.3502339624208	-2.35118774670251	-2.67670012382021	-1.71615454680654	-1.95408304438462	-2.17404354131852	-2.62840769754583	-1.99391569217305	-1.88576780519586	-2.74815370526846	-2.37224059903207	-2.81700435008636	-2.7632613230206	-1.12969942216625	-1.44394547762324	-2.28369837867548	-2.47664316529281	-2.14800732091842	-2.23529756942009	-1.5202031595664	-1.39895581198838	0.62182665001468	0.649043439662938	-1.97281866244183	-2.12358066025426	-2.43475890305278	-2.59833988616503	-2.49388408737332	-2.25300727822265	-2.46977679973757	-2.41223979613318	-2.88133760180217	-2.46952328459005	-2.17678373057223	-2.13276343653868	-1.67157440451992	-1.54098095995771
-2.86878748850718	-2.25032568437503	-5.22044105236392	-4.10925961346047	1.70326213179951	1.65595709600167	4.70298918149232	3.95621835508879	-1.0305472858761	-2.05566020963733	-2.92741707043423	-0.690972057400215	-2.8450338274217	-1.44726762892567	-3.48704424153248	-3.08571954139	-2.71717261730668	-3.05360741759192	2.33548614197498	-0.312375289597827	1.00832754083543	-1.82976175628803	-2.43304550009739	-2.24701986235324	-3.26261584854616	-2.77569216837267	-2.60595141687943	-2.23626889438131	-1.58919330187668	0.338734904337118	-0.382738939412211	-0.100756879770938	-2.59132107928353	-3.64469352011812	-2.51310191198168	-2.11037838261148	-0.886732340694972	-1.12901448591654	-2.21192218736717	-2.24493575530902	-2.86618961412247	-2.14811977187913	-1.93168739576347	-1.78738879469992	1.36116140315317	-2.39488058479566	-0.946043083449316	-2.43406820395538	-2.55329522515448	-1.77722946062042	-0.582426048200763	-2.62925498882584	-2.4862431518285	-2.19094667365346	-2.1196735541374	-0.169598829368745	-2.59562746985823	-3.09871434672377	-0.584164592153022	-1.70501113487813	-2.80360214986499	-3.38470844275507	-0.0978733454071138	-1.37682557143835	-4.2551267724773	-3.08493768112895	-3.06348839768071	-2.90656766492472	-2.33407632698026	-3.66806905977081	-1.48190940538888	-2.54718832874473	-2.5377593273091	-2.40223084387829	-2.26293519795484	-0.618542011234054
-2.02460746954865	-2.19390660838579	-4.10925961346047	-4.10925961346047	0.980956822844488	0.684214183015467	8.95472680548722	1.86493172363994	-1.25990982221344	-1.97892798987681	-1.6774648832394	1.27723965753026	-2.68602111722047	0.313244672540403	-1.92919896220696	-2.12479714964486	-2.43780635320794	-2.33446031570524	4.57721665126139	0.219975457020414	5.93529988448973	-0.375595097219973	-1.93564610775171	-2.0193714181149	-1.44716526979903	-1.9580592165068	-2.16303463132934	-2.3780819456259	-0.812874385984754	1.85994700957835	2.43061528087483	0.737600037050968	-2.26850875779028	-1.66894302407787	-2.45577011083551	-0.357585691728887	0.574218298111268	-0.738657164541882	-1.93869073879825	-1.60229642979682	-1.01614334862093	-1.11998257661155	-1.38199611014556	-0.047697211757351	0.786727959956355	-1.34714364616936	-0.472005825888214	-0.401492866875238	-0.63051267458726	-0.618659049770112	-0.902733190287063	-2.1618443877792	-0.684914978836781	0.77124934617414	-0.243155915409601	-0.607665049187507	-2.3225592245129	-2.38067276529765	0.135157852213005	-0.0504296382487425	-2.21625668205324	-2.81008314527463	-0.27206758538456	1.28768868072764	-3.41226119087573	-2.6330359557105	-2.54532133475705	-2.39526073021494	-1.93967278893601	-2.82297813959236	-1.57724095321962	-2.80468549207066	-1.96183994103105	-1.7145654879184	-1.93168333953874	-0.541397254815429
-2.95297653090003	-2.23441829161482	1.70326213179951	0.980956822844488	-5.22044105236392	-5.22044105236392	-0.521463386517475	-1.2049996311315	1.1859244161023	-0.197060360544092	-2.68322254370222	-2.20280048269664	-2.73554434010709	-1.34413217823986	-2.60555880169725	-1.47582393035932	-2.89629933615916	-3.28742323271945	0.324284912758938	-1.27651893172991	-0.951638700935626	-0.465735941798441	0.154004812148354	1.26990477302842	-3.27927292781014	-2.63758840294761	-1.59226535006742	-2.30283201805225	-3.02475931334255	-2.60654872459397	-0.466592538669403	-0.624189132899435	-2.16380080932731	-1.92275723402854	-2.33588632382746	-0.0610022834577195	-0.217311540771353	-1.25557959927932	-1.67673970466369	-2.11045941451196	-2.27951945185678	-2.26100679870258	-1.70992219791896	-1.09870172226568	-0.363350489625306	-3.09796911147824	-1.56767591702118	-1.71991952767414	-2.17563260657982	-1.02090254190152	-1.11795247065619	-1.12068610488189	-2.54610835050886	-1.5278786551204	-0.640329886421997	-0.812555453429972	-3.02130066220239	-2.59750263963316	-1.03413558049923	-1.70033764248542	-2.43628920879051	-3.07215216282326	-1.80874090169136	-2.31830869987261	-2.64808384360096	-2.05951634486087	-2.36020183340473	-1.81859835111735	-2.79188280907889	-2.90323955197657	-2.75664738148124	-3.24781846212069	-0.971379744967591	-0.227692210344816	-1.74812785682156	-1.58492840702444
-2.75054303514196	-2.14609622047044	1.65595709600167	0.684214183015467	-5.22044105236392	-5.22044105236392	-0.173134378972046	-0.345054622970784	1.68174129567298	0.444221020461267	-2.22671235500686	-1.00011262108489	-2.14126860683143	-0.827801815892872	-2.07217946089107	-0.738820337460494	-2.87525715569503	-2.80472935838367	0.127642543347267	-0.361229580819436	-0.935037591903323	-0.570052324989302	1.7203010631436	2.30692443858351	-3.03439447292088	-2.61732105594755	-1.52856560624541	-2.29763245763081	-2.79863840486647	-2.02992066177556	-0.113911719765714	-0.521370257889394	-2.44104933579076	-1.50823387559273	-2.04779685752441	0.571923125690425	-0.110955701070003	-1.20523207832913	-1.20710923806461	-1.46841404750529	-1.32734798643593	-1.64021350485576	-1.49764035539315	-0.580618983857805	0.27498039109373	-3.00739601144239	-1.7756179683248	-1.02646856781	-1.75107857245726	-0.678912260529766	-1.55318512159402	-1.40692892735753	-1.93324826338835	-1.86439015491357	-0.354329844966583	0.453209520155237	-3.2039180568804	-2.55333797099039	-0.819658327844774	-1.4626101362679	-2.19410947533861	-2.95479553032462	-1.61169190387087	-1.8842907870397	-2.55676457272286	-2.16022235557172	-2.19344702397085	-1.01897872038409	-2.85597516692968	-3.0294900580067	-1.81511534723017	-3.35757641859101	-0.70927611935358	-0.330802081066232	-1.6363621059416	-1.43120485225989
-3.39474254831846	-2.85701934832615	4.70298918149232	8.95472680548722	-0.521463386517475	-0.173134378972046	-5.21961398991873	-5.2203971311352	4.83316071424123	0.285775702564493	4.51353379353891	6.32790670012009	0.295316183660965	4.83024789377413	1.51861974523831	0.574881751293566	3.21006493057862	1.9128839180575	8.83553937986537	21.7701692942792	2.22164606159493	4.42767568677496	2.82665426008866	2.44360331979292	0.944438169755624	2.19993528090477	-2.2594158409938	-3.30488832326357	3.28688074704658	11.0655847488634	5.65451349326311	5.54637904170796	-2.93753328161057	5.00229906810511	-2.61286039391106	6.77059173280974	15.9817862117454	7.05287466796693	-1.00450075062554	-0.701978872102881	8.15910359955634	8.59057816028793	0.373009830464934	0.486064531323821	-1.76506989765385	-3.57808467508206	27.1849715672918	13.8783516753499	2.29568479702916	3.05630974982122	1.96436067288435	-1.32923635257278	2.83486688944086	1.06762537063592	13.9955559912107	11.5873520425731	-1.31797233857481	-1.95578362931625	6.81453841391065	15.9633077611526	-1.35959780826388	-0.461496563948398	5.92301238933822	5.30949553029395	-0.963913129592554	0.182713081023102	-2.52668440659909	-2.5345629232109	-0.643924353361757	-1.8158983676085	3.39167562485327	-0.983335100139465	1.46447117420434	3.01599242019245	0.75201923289444	4.53067335491028
-3.30346412088889	-2.84668612585125	3.95621835508879	1.86493172363994	-1.2049996311315	-0.345054622970784	-5.2203971311352	-5.22044105236392	4.2684105558886	0.136694327674997	5.27127924390303	3.54623419192041	1.09816267986579	2.03759008118097	-0.294066696111673	-0.14144155229843	4.22087691649926	2.38455012695222	7.59159134970626	14.8316420685424	-1.24152859160029	2.01140776617312	3.83491464162149	2.72779245908019	0.077972030243705	2.33579423263508	-1.80522469954504	-3.18848705333984	0.438238069739212	8.08738480431353	5.31958572725242	4.18988459613312	-2.90986808621981	2.09842091727021	-0.614633768090088	6.70287692358809	13.679820675317	8.2166611323008	-1.06822571315227	-0.816291129364193	8.14449883237898	6.3977561466191	0.381305120520577	0.38163769341161	-1.34062027537482	-3.63799228978925	18.5257243107072	16.0447929629987	0.31216340433513	3.7094309330506	2.07572200626934	-2.16110372870034	0.718634468400507	0.385234714526199	10.3904104743303	13.0009798328673	-2.72589164370104	-2.69291961965576	7.19069294990473	9.4734291471905	-1.46196465681982	-0.21514801651303	6.02130414649661	3.89874233365176	-0.35446566211362	3.22961908748612	-1.12787721056265	-1.69892261535564	0.0073226594306047	-1.47546141431199	2.49813926897653	-0.0286242161205075	-0.0134493452010526	1.38204344509495	1.11571601904464	3.71574128286256
-2.68895143694309	-1.90265615446418	-1.0305472858761	-1.25990982221344	1.1859244161023	1.68174129567298	4.83316071424123	4.2684105558886	-5.22044105236392	-4.07107338601783	1.42242258389859	1.48048806278889	0.023047662224961	1.16254174284974	-1.46129270390793	-1.48072730185529	-2.02531520733045	-2.260886370518	3.23729915133095	6.49343154477434	1.79601138443454	0.114882107972347	4.13194831478315	0.405896816096909	-1.46958648774275	-1.06410004428065	-1.46676353633576	-1.89948655605742	-1.57824321654825	2.99601518846212	-0.231131432431228	0.758490737045345	-1.31058444355373	4.10647439647085	-1.73489964696237	6.52102559750416	1.45332947418976	1.61827059885693	-1.06077332216405	-0.313848928309222	0.924079971636459	2.31722746674342	-1.36451227504686	-0.0688062454412473	0.36326740342295	-1.98912455799984	1.64739618420426	0.576138391469613	0.564934888297609	1.68354427545509	1.14371551587711	-0.443699054038664	-0.060923430157436	-1.15181330212833	1.37056818378616	2.21335724298088	-2.48736119231034	-2.70691925745461	0.184523364149627	-0.774575696532821	-1.3717640181248	-1.35366944807349	0.155909010125687	0.417176090455186	-2.40995827904384	-1.64959102612358	-1.70222972948993	-1.70579273175428	0.729135056080028	-0.422121358793341	-0.763487974934274	-2.73280908598401	2.0638431068631	3.15513056135362	-0.20949415066783	2.12406497756585
-2.17595775530614	-1.5509391091487	-2.05566020963733	-1.97892798987681	-0.197060360544092	0.444221020461267	0.285775702564493	0.136694327674997	-4.07107338601783	-4.07107338601783	-0.945371117185895	-0.875929357563343	0.129424797566656	-0.80367283824185	-2.56773233763867	-1.51696948947766	-2.09951723253674	-1.7682037465377	-0.714084435068904	0.824089468674748	-0.874884339368818	-1.48852402601081	0.242221926699822	-1.09678213780885	-2.3866506960457	-1.72140907743276	-1.6656263392414	-2.14898648485795	-1.89292075562951	-1.40129933514731	-1.95302894581777	-2.05079658901257	-1.73317971652393	0.510689728102638	-1.46382824604028	1.46278374134285	-0.789474303533364	-0.741864076537115	-1.92592047964353	-1.84006485703061	-0.575992494343276	-0.97747253709078	-1.03828161352936	-1.22942461169772	-1.88635191120428	-2.34288179276163	-1.55479247848634	-1.13807240393271	-1.33918876666154	0.0096398397900157	-2.02621179270152	-1.16221829964299	-1.60406822457283	-1.99742273290906	-0.402478806788512	-0.388156033467558	-2.67201405744781	-2.48337777258394	-2.09512791424715	-0.935778628660676	-2.00728978359999	-1.64419121688481	-1.3657704990027	-1.07416324580819	-1.9127011834547	-1.3549994289187	-1.06097374470404	-0.854161753887537	-1.36853091431626	-0.753683031403039	-0.437437293943121	-2.03209526009461	-0.248681289788973	0.168730041194879	-1.21109248626898	-1.36054051942555
