Clusters	Supercluster	roi	regions	n_cells_cluster	n_cells_roi	n_cells_region
83	Deep-layer near-projecting	Human ACC	Limbic_cortex	14	28494	125352
83	Deep-layer near-projecting	Human FI	Frontal_cortex	21	32607	310434
83	Deep-layer near-projecting	Human A13	Frontal_cortex	14	32634	310434
83	Deep-layer near-projecting	Human A29-A30	Limbic_cortex	10	31649	125352
83	Deep-layer near-projecting	Human A23	Limbic_cortex	10	32979	125352
83	Deep-layer near-projecting	Human SEP	BasalForebrain	10	20447	186315
83	Deep-layer near-projecting	Human A5-A7	Parietal_cortex	8	32527	143001
83	Deep-layer near-projecting	Human TH-TL	Limbic_cortex	8	32230	125352
83	Deep-layer near-projecting	Human S1C	Parietal_cortex	25	35453	143001
83	Deep-layer near-projecting	Human V1C	Occipital_cortex	17	30599	112307
83	Deep-layer near-projecting	Human A25	Frontal_cortex	13	35100	310434
83	Deep-layer near-projecting	Human M1C	Frontal_cortex	106	110246	310434
83	Deep-layer near-projecting	Human A14	Frontal_cortex	3	13473	310434
83	Deep-layer near-projecting	Human A46	Frontal_cortex	8	27923	310434
83	Deep-layer near-projecting	Human AON	Paleocortex	21	29261	61436
83	Deep-layer near-projecting	Human MTG	Temporal_cortex	22	85093	403268
83	Deep-layer near-projecting	Human BM	Amygdala	2	26270	185429
83	Deep-layer near-projecting	Human A19	Occipital_cortex	4	26775	112307
83	Deep-layer near-projecting	Human A40	Parietal_cortex	4	35993	143001
83	Deep-layer near-projecting	Human STG	Temporal_cortex	5	27340	403268
83	Deep-layer near-projecting	Human A43	Parietal_cortex	10	39028	143001
83	Deep-layer near-projecting	Human Idg	Temporal_cortex	17	36450	403268
83	Deep-layer near-projecting	Human TF	Temporal_cortex	11	29403	403268
83	Deep-layer near-projecting	Human Pro	Occipital_cortex	9	25284	112307
83	Deep-layer near-projecting	Human A1C	Temporal_cortex	10	30175	403268
83	Deep-layer near-projecting	Human SI	BasalForebrain	2	33357	186315
83	Deep-layer near-projecting	Human A44-A45	Frontal_cortex	11	35694	310434
83	Deep-layer near-projecting	Human SC	Midbrain	1	27156	127333
83	Deep-layer near-projecting	Human V2	Occipital_cortex	11	29649	112307
83	Deep-layer near-projecting	Human A38	Temporal_cortex	13	34466	403268
83	Deep-layer near-projecting	Human ITG	Temporal_cortex	8	26596	403268
83	Deep-layer near-projecting	Human A32	Frontal_cortex	4	22757	310434
83	Deep-layer near-projecting	Human Cla	BasalForebrain	3	27853	186315
83	Deep-layer near-projecting	Human Sub	Hippocampus	2	27772	237728
83	Deep-layer near-projecting	Human CoA	Amygdala	4	8288	185429
83	Deep-layer near-projecting	Human CA1R-CA2R-CA3R	Hippocampus	3	21695	237728
83	Deep-layer near-projecting	Human HTHso	Hypothalamus	9	9535	110066
83	Deep-layer near-projecting	Human Pir	Paleocortex	5	32175	61436
83	Deep-layer near-projecting	Human Ig	Temporal_cortex	10	35308	403268
83	Deep-layer near-projecting	Human LEC	Temporal_cortex	5	29852	403268
83	Deep-layer near-projecting	Human La	Amygdala	1	24560	185429
83	Deep-layer near-projecting	Human CEN	Amygdala	1	30013	185429
83	Deep-layer near-projecting	Human A35-A36	Temporal_cortex	1	21708	403268
84	Deep-layer corticothalamic and 6b	Human CA2U-CA3U	Hippocampus	863	11268	237728
84	Deep-layer corticothalamic and 6b	Human Sub	Hippocampus	555	27772	237728
84	Deep-layer corticothalamic and 6b	Human CA1U-CA2U-CA3U	Hippocampus	899	31168	237728
84	Deep-layer corticothalamic and 6b	Human CA1R-CA2R-CA3R	Hippocampus	539	21695	237728
84	Deep-layer corticothalamic and 6b	Human CA1	Hippocampus	460	14677	237728
84	Deep-layer corticothalamic and 6b	Human CA1-2R	Hippocampus	605	9696	237728
84	Deep-layer corticothalamic and 6b	Human CA1C-CA3C	Hippocampus	470	32432	237728
84	Deep-layer corticothalamic and 6b	Human CMN	Amygdala	18	34358	185429
84	Deep-layer corticothalamic and 6b	Human BM	Amygdala	12	26270	185429
84	Deep-layer corticothalamic and 6b	Human DGU-CA4Upy	Hippocampus	3	22000	237728
84	Deep-layer corticothalamic and 6b	Human MEC	Temporal_cortex	1	46874	403268
84	Deep-layer corticothalamic and 6b	Human DGR-CA4Rpy	Hippocampus	12	16472	237728
84	Deep-layer corticothalamic and 6b	Human M1C	Frontal_cortex	26	110246	310434
84	Deep-layer corticothalamic and 6b	Human A29-A30	Limbic_cortex	1	31649	125352
84	Deep-layer corticothalamic and 6b	Human CA4C-DGC	Hippocampus	2	36588	237728
84	Deep-layer corticothalamic and 6b	Human BL	Amygdala	4	30681	185429
84	Deep-layer corticothalamic and 6b	Human ACC	Limbic_cortex	3	28494	125352
84	Deep-layer corticothalamic and 6b	Human SC	Midbrain	1	27156	127333
85	Deep-layer near-projecting	Human ACC	Limbic_cortex	166	28494	125352
85	Deep-layer near-projecting	Human SEP	BasalForebrain	133	20447	186315
85	Deep-layer near-projecting	Human AON	Paleocortex	44	29261	61436
85	Deep-layer near-projecting	Human NAC	BasalForebrain	6	27406	186315
85	Deep-layer near-projecting	Human HTHpo	Hypothalamus	14	13248	110066
85	Deep-layer near-projecting	Human M1C	Frontal_cortex	15	110246	310434
85	Deep-layer near-projecting	Human SI	BasalForebrain	50	33357	186315
85	Deep-layer near-projecting	Human BNST	Amygdala	22	31259	185429
85	Deep-layer near-projecting	Human ITG	Temporal_cortex	1	26596	403268
85	Deep-layer near-projecting	Human CoA	Amygdala	1	8288	185429
85	Deep-layer near-projecting	Human A25	Frontal_cortex	11	35100	310434
85	Deep-layer near-projecting	Human LP	Thalamus	1	12519	212413
85	Deep-layer near-projecting	Human A29-A30	Limbic_cortex	1	31649	125352
85	Deep-layer near-projecting	Human HTHso	Hypothalamus	42	9535	110066
85	Deep-layer near-projecting	Human FI	Frontal_cortex	2	32607	310434
85	Deep-layer near-projecting	Human Ig	Temporal_cortex	1	35308	403268
85	Deep-layer near-projecting	Human Cla	BasalForebrain	1	27853	186315
85	Deep-layer near-projecting	Human CA1U-CA2U-CA3U	Hippocampus	1	31168	237728
85	Deep-layer near-projecting	Human CA1-2R	Hippocampus	1	9696	237728
85	Deep-layer near-projecting	Human TH-TL	Limbic_cortex	1	32230	125352
86	Deep-layer near-projecting	Human M1C	Frontal_cortex	464	110246	310434
86	Deep-layer near-projecting	Human A23	Limbic_cortex	58	32979	125352
86	Deep-layer near-projecting	Human A43	Parietal_cortex	91	39028	143001
86	Deep-layer near-projecting	Human A40	Parietal_cortex	48	35993	143001
86	Deep-layer near-projecting	Human TH-TL	Limbic_cortex	33	32230	125352
86	Deep-layer near-projecting	Human A1C	Temporal_cortex	57	30175	403268
86	Deep-layer near-projecting	Human A46	Frontal_cortex	39	27923	310434
86	Deep-layer near-projecting	Human V1C	Occipital_cortex	36	30599	112307
86	Deep-layer near-projecting	Human A5-A7	Parietal_cortex	53	32527	143001
86	Deep-layer near-projecting	Human MTG	Temporal_cortex	63	85093	403268
86	Deep-layer near-projecting	Human Ig	Temporal_cortex	96	35308	403268
86	Deep-layer near-projecting	Human A44-A45	Frontal_cortex	56	35694	310434
86	Deep-layer near-projecting	Human TF	Temporal_cortex	32	29403	403268
86	Deep-layer near-projecting	Human A19	Occipital_cortex	17	26775	112307
86	Deep-layer near-projecting	Human Cla	BasalForebrain	26	27853	186315
86	Deep-layer near-projecting	Human V2	Occipital_cortex	21	29649	112307
86	Deep-layer near-projecting	Human Idg	Temporal_cortex	45	36450	403268
86	Deep-layer near-projecting	Human S1C	Parietal_cortex	130	35453	143001
86	Deep-layer near-projecting	Human Pro	Occipital_cortex	26	25284	112307
86	Deep-layer near-projecting	Human STG	Temporal_cortex	32	27340	403268
86	Deep-layer near-projecting	Human Sub	Hippocampus	13	27772	237728
86	Deep-layer near-projecting	Human CA1R-CA2R-CA3R	Hippocampus	4	21695	237728
86	Deep-layer near-projecting	Human ITG	Temporal_cortex	14	26596	403268
86	Deep-layer near-projecting	Human A25	Frontal_cortex	3	35100	310434
86	Deep-layer near-projecting	Human FI	Frontal_cortex	3	32607	310434
86	Deep-layer near-projecting	Human A32	Frontal_cortex	4	22757	310434
86	Deep-layer near-projecting	Human A13	Frontal_cortex	17	32634	310434
86	Deep-layer near-projecting	Human ACC	Limbic_cortex	2	28494	125352
86	Deep-layer near-projecting	Human SEP	BasalForebrain	1	20447	186315
86	Deep-layer near-projecting	Human A29-A30	Limbic_cortex	15	31649	125352
86	Deep-layer near-projecting	Human A35-A36	Temporal_cortex	3	21708	403268
86	Deep-layer near-projecting	Human A38	Temporal_cortex	4	34466	403268
86	Deep-layer near-projecting	Human BM	Amygdala	1	26270	185429
86	Deep-layer near-projecting	Human AON	Paleocortex	1	29261	61436
87	Deep-layer near-projecting	Human A25	Frontal_cortex	212	35100	310434
87	Deep-layer near-projecting	Human ACC	Limbic_cortex	310	28494	125352
87	Deep-layer near-projecting	Human AON	Paleocortex	96	29261	61436
87	Deep-layer near-projecting	Human FI	Frontal_cortex	138	32607	310434
87	Deep-layer near-projecting	Human Idg	Temporal_cortex	30	36450	403268
87	Deep-layer near-projecting	Human SEP	BasalForebrain	92	20447	186315
87	Deep-layer near-projecting	Human HTHso	Hypothalamus	31	9535	110066
87	Deep-layer near-projecting	Human Pir	Paleocortex	18	32175	61436
87	Deep-layer near-projecting	Human M1C	Frontal_cortex	44	110246	310434
87	Deep-layer near-projecting	Human SI	BasalForebrain	50	33357	186315
87	Deep-layer near-projecting	Human A13	Frontal_cortex	46	32634	310434
87	Deep-layer near-projecting	Human BNST	Amygdala	3	31259	185429
87	Deep-layer near-projecting	Human A32	Frontal_cortex	34	22757	310434
87	Deep-layer near-projecting	Human A14	Frontal_cortex	46	13473	310434
87	Deep-layer near-projecting	Human A38	Temporal_cortex	24	34466	403268
87	Deep-layer near-projecting	Human CA1U-CA2U-CA3U	Hippocampus	1	31168	237728
87	Deep-layer near-projecting	Human CoA	Amygdala	7	8288	185429
87	Deep-layer near-projecting	Human Ig	Temporal_cortex	2	35308	403268
87	Deep-layer near-projecting	Human Cla	BasalForebrain	4	27853	186315
87	Deep-layer near-projecting	Human TH-TL	Limbic_cortex	1	32230	125352
87	Deep-layer near-projecting	Human Sub	Hippocampus	2	27772	237728
87	Deep-layer near-projecting	Human NAC	BasalForebrain	1	27406	186315
87	Deep-layer near-projecting	Human A29-A30	Limbic_cortex	1	31649	125352
87	Deep-layer near-projecting	Human A44-A45	Frontal_cortex	5	35694	310434
87	Deep-layer near-projecting	Human HTHpo	Hypothalamus	3	13248	110066
87	Deep-layer near-projecting	Human A35-A36	Temporal_cortex	1	21708	403268
87	Deep-layer near-projecting	Human Pro	Occipital_cortex	1	25284	112307
88	Deep-layer near-projecting	Human Idg	Temporal_cortex	201	36450	403268
88	Deep-layer near-projecting	Human MTG	Temporal_cortex	237	85093	403268
88	Deep-layer near-projecting	Human A44-A45	Frontal_cortex	12	35694	310434
88	Deep-layer near-projecting	Human M1C	Frontal_cortex	121	110246	310434
88	Deep-layer near-projecting	Human S1C	Parietal_cortex	20	35453	143001
88	Deep-layer near-projecting	Human A1C	Temporal_cortex	43	30175	403268
88	Deep-layer near-projecting	Human A5-A7	Parietal_cortex	24	32527	143001
88	Deep-layer near-projecting	Human A32	Frontal_cortex	5	22757	310434
88	Deep-layer near-projecting	Human A13	Frontal_cortex	15	32634	310434
88	Deep-layer near-projecting	Human A38	Temporal_cortex	101	34466	403268
88	Deep-layer near-projecting	Human BM	Amygdala	21	26270	185429
88	Deep-layer near-projecting	Human STG	Temporal_cortex	36	27340	403268
88	Deep-layer near-projecting	Human TF	Temporal_cortex	81	29403	403268
88	Deep-layer near-projecting	Human Pir	Paleocortex	9	32175	61436
88	Deep-layer near-projecting	Human Ig	Temporal_cortex	58	35308	403268
88	Deep-layer near-projecting	Human Pro	Occipital_cortex	16	25284	112307
88	Deep-layer near-projecting	Human FI	Frontal_cortex	123	32607	310434
88	Deep-layer near-projecting	Human ITG	Temporal_cortex	59	26596	403268
88	Deep-layer near-projecting	Human A19	Occipital_cortex	45	26775	112307
88	Deep-layer near-projecting	Human A40	Parietal_cortex	46	35993	143001
88	Deep-layer near-projecting	Human TH-TL	Limbic_cortex	30	32230	125352
88	Deep-layer near-projecting	Human A25	Frontal_cortex	15	35100	310434
88	Deep-layer near-projecting	Human A23	Limbic_cortex	21	32979	125352
88	Deep-layer near-projecting	Human A46	Frontal_cortex	11	27923	310434
88	Deep-layer near-projecting	Human A43	Parietal_cortex	35	39028	143001
88	Deep-layer near-projecting	Human CEN	Amygdala	5	30013	185429
88	Deep-layer near-projecting	Human AON	Paleocortex	6	29261	61436
88	Deep-layer near-projecting	Human A29-A30	Limbic_cortex	9	31649	125352
88	Deep-layer near-projecting	Human A35-A36	Temporal_cortex	15	21708	403268
88	Deep-layer near-projecting	Human Cla	BasalForebrain	69	27853	186315
88	Deep-layer near-projecting	Human ACC	Limbic_cortex	19	28494	125352
88	Deep-layer near-projecting	Human V2	Occipital_cortex	2	29649	112307
88	Deep-layer near-projecting	Human A14	Frontal_cortex	5	13473	310434
88	Deep-layer near-projecting	Human CA1R-CA2R-CA3R	Hippocampus	13	21695	237728
88	Deep-layer near-projecting	Human HTHso	Hypothalamus	1	9535	110066
88	Deep-layer near-projecting	Human CoA	Amygdala	2	8288	185429
88	Deep-layer near-projecting	Human V1C	Occipital_cortex	2	30599	112307
88	Deep-layer near-projecting	Human SC	Midbrain	1	27156	127333
88	Deep-layer near-projecting	Human Sub	Hippocampus	2	27772	237728
88	Deep-layer near-projecting	Human SEP	BasalForebrain	4	20447	186315
88	Deep-layer near-projecting	Human La	Amygdala	1	24560	185429
88	Deep-layer near-projecting	Human SI	BasalForebrain	2	33357	186315
88	Deep-layer near-projecting	Human LEC	Temporal_cortex	5	29852	403268
89	Deep-layer near-projecting	Human A46	Frontal_cortex	84	27923	310434
89	Deep-layer near-projecting	Human M1C	Frontal_cortex	564	110246	310434
89	Deep-layer near-projecting	Human A43	Parietal_cortex	78	39028	143001
89	Deep-layer near-projecting	Human A13	Frontal_cortex	45	32634	310434
89	Deep-layer near-projecting	Human S1C	Parietal_cortex	108	35453	143001
89	Deep-layer near-projecting	Human ACC	Limbic_cortex	32	28494	125352
89	Deep-layer near-projecting	Human AON	Paleocortex	10	29261	61436
89	Deep-layer near-projecting	Human A44-A45	Frontal_cortex	108	35694	310434
89	Deep-layer near-projecting	Human Idg	Temporal_cortex	57	36450	403268
89	Deep-layer near-projecting	Human A32	Frontal_cortex	26	22757	310434
89	Deep-layer near-projecting	Human FI	Frontal_cortex	112	32607	310434
89	Deep-layer near-projecting	Human CoA	Amygdala	2	8288	185429
89	Deep-layer near-projecting	Human A25	Frontal_cortex	53	35100	310434
89	Deep-layer near-projecting	Human Ig	Temporal_cortex	10	35308	403268
89	Deep-layer near-projecting	Human A40	Parietal_cortex	6	35993	143001
89	Deep-layer near-projecting	Human Cla	BasalForebrain	19	27853	186315
89	Deep-layer near-projecting	Human A19	Occipital_cortex	1	26775	112307
89	Deep-layer near-projecting	Human A29-A30	Limbic_cortex	5	31649	125352
89	Deep-layer near-projecting	Human A23	Limbic_cortex	22	32979	125352
89	Deep-layer near-projecting	Human A14	Frontal_cortex	24	13473	310434
89	Deep-layer near-projecting	Human A1C	Temporal_cortex	2	30175	403268
89	Deep-layer near-projecting	Human Pir	Paleocortex	6	32175	61436
89	Deep-layer near-projecting	Human Pro	Occipital_cortex	1	25284	112307
89	Deep-layer near-projecting	Human SEP	BasalForebrain	3	20447	186315
89	Deep-layer near-projecting	Human A5-A7	Parietal_cortex	17	32527	143001
89	Deep-layer near-projecting	Human HTHso	Hypothalamus	2	9535	110066
89	Deep-layer near-projecting	Human A38	Temporal_cortex	3	34466	403268
89	Deep-layer near-projecting	Human MTG	Temporal_cortex	2	85093	403268
89	Deep-layer near-projecting	Human V2	Occipital_cortex	2	29649	112307
89	Deep-layer near-projecting	Human TH-TL	Limbic_cortex	1	32230	125352
90	Deep-layer near-projecting	Human A44-A45	Frontal_cortex	153	35694	310434
90	Deep-layer near-projecting	Human M1C	Frontal_cortex	390	110246	310434
90	Deep-layer near-projecting	Human FI	Frontal_cortex	189	32607	310434
90	Deep-layer near-projecting	Human A25	Frontal_cortex	234	35100	310434
90	Deep-layer near-projecting	Human A40	Parietal_cortex	5	35993	143001
90	Deep-layer near-projecting	Human A46	Frontal_cortex	90	27923	310434
90	Deep-layer near-projecting	Human A32	Frontal_cortex	49	22757	310434
90	Deep-layer near-projecting	Human A13	Frontal_cortex	105	32634	310434
90	Deep-layer near-projecting	Human A43	Parietal_cortex	86	39028	143001
90	Deep-layer near-projecting	Human Cla	BasalForebrain	11	27853	186315
90	Deep-layer near-projecting	Human AON	Paleocortex	58	29261	61436
90	Deep-layer near-projecting	Human A14	Frontal_cortex	50	13473	310434
90	Deep-layer near-projecting	Human HTHso	Hypothalamus	9	9535	110066
90	Deep-layer near-projecting	Human S1C	Parietal_cortex	113	35453	143001
90	Deep-layer near-projecting	Human ACC	Limbic_cortex	126	28494	125352
90	Deep-layer near-projecting	Human SI	BasalForebrain	17	33357	186315
90	Deep-layer near-projecting	Human Idg	Temporal_cortex	42	36450	403268
90	Deep-layer near-projecting	Human Pir	Paleocortex	16	32175	61436
90	Deep-layer near-projecting	Human Ig	Temporal_cortex	10	35308	403268
90	Deep-layer near-projecting	Human CoA	Amygdala	7	8288	185429
90	Deep-layer near-projecting	Human SEP	BasalForebrain	33	20447	186315
90	Deep-layer near-projecting	Human A23	Limbic_cortex	3	32979	125352
90	Deep-layer near-projecting	Human A1C	Temporal_cortex	2	30175	403268
90	Deep-layer near-projecting	Human STG	Temporal_cortex	1	27340	403268
90	Deep-layer near-projecting	Human HTHma	Hypothalamus	1	9022	110066
90	Deep-layer near-projecting	Human A5-A7	Parietal_cortex	3	32527	143001
90	Deep-layer near-projecting	Human TF	Temporal_cortex	1	29403	403268
91	Deep-layer near-projecting	Human BM	Amygdala	36	26270	185429
91	Deep-layer near-projecting	Human Idg	Temporal_cortex	159	36450	403268
91	Deep-layer near-projecting	Human STG	Temporal_cortex	26	27340	403268
91	Deep-layer near-projecting	Human S1C	Parietal_cortex	19	35453	143001
91	Deep-layer near-projecting	Human TH-TL	Limbic_cortex	79	32230	125352
91	Deep-layer near-projecting	Human Ig	Temporal_cortex	38	35308	403268
91	Deep-layer near-projecting	Human MTG	Temporal_cortex	243	85093	403268
91	Deep-layer near-projecting	Human A19	Occipital_cortex	74	26775	112307
91	Deep-layer near-projecting	Human FI	Frontal_cortex	11	32607	310434
91	Deep-layer near-projecting	Human Pro	Occipital_cortex	36	25284	112307
91	Deep-layer near-projecting	Human A1C	Temporal_cortex	18	30175	403268
91	Deep-layer near-projecting	Human A40	Parietal_cortex	70	35993	143001
91	Deep-layer near-projecting	Human TF	Temporal_cortex	119	29403	403268
91	Deep-layer near-projecting	Human A29-A30	Limbic_cortex	2	31649	125352
91	Deep-layer near-projecting	Human Sub	Hippocampus	32	27772	237728
91	Deep-layer near-projecting	Human ITG	Temporal_cortex	82	26596	403268
91	Deep-layer near-projecting	Human Cla	BasalForebrain	71	27853	186315
91	Deep-layer near-projecting	Human A38	Temporal_cortex	110	34466	403268
91	Deep-layer near-projecting	Human A43	Parietal_cortex	24	39028	143001
91	Deep-layer near-projecting	Human A46	Frontal_cortex	1	27923	310434
91	Deep-layer near-projecting	Human M1C	Frontal_cortex	83	110246	310434
91	Deep-layer near-projecting	Human V2	Occipital_cortex	34	29649	112307
91	Deep-layer near-projecting	Human A23	Limbic_cortex	52	32979	125352
91	Deep-layer near-projecting	Human A5-A7	Parietal_cortex	36	32527	143001
91	Deep-layer near-projecting	Human A35-A36	Temporal_cortex	14	21708	403268
91	Deep-layer near-projecting	Human Pir	Paleocortex	7	32175	61436
91	Deep-layer near-projecting	Human CA1R-CA2R-CA3R	Hippocampus	12	21695	237728
91	Deep-layer near-projecting	Human CEN	Amygdala	4	30013	185429
91	Deep-layer near-projecting	Human LEC	Temporal_cortex	18	29852	403268
91	Deep-layer near-projecting	Human A13	Frontal_cortex	1	32634	310434
91	Deep-layer near-projecting	Human V1C	Occipital_cortex	4	30599	112307
91	Deep-layer near-projecting	Human CA1U-CA2U-CA3U	Hippocampus	5	31168	237728
91	Deep-layer near-projecting	Human A44-A45	Frontal_cortex	2	35694	310434
91	Deep-layer near-projecting	Human CA2U-CA3U	Hippocampus	1	11268	237728
92	Deep-layer near-projecting	Human STG	Temporal_cortex	98	27340	403268
92	Deep-layer near-projecting	Human MTG	Temporal_cortex	257	85093	403268
92	Deep-layer near-projecting	Human A43	Parietal_cortex	104	39028	143001
92	Deep-layer near-projecting	Human S1C	Parietal_cortex	79	35453	143001
92	Deep-layer near-projecting	Human A5-A7	Parietal_cortex	92	32527	143001
92	Deep-layer near-projecting	Human TF	Temporal_cortex	121	29403	403268
92	Deep-layer near-projecting	Human V1C	Occipital_cortex	69	30599	112307
92	Deep-layer near-projecting	Human TH-TL	Limbic_cortex	108	32230	125352
92	Deep-layer near-projecting	Human Cla	BasalForebrain	46	27853	186315
92	Deep-layer near-projecting	Human A1C	Temporal_cortex	146	30175	403268
92	Deep-layer near-projecting	Human Idg	Temporal_cortex	119	36450	403268
92	Deep-layer near-projecting	Human A40	Parietal_cortex	118	35993	143001
92	Deep-layer near-projecting	Human A13	Frontal_cortex	7	32634	310434
92	Deep-layer near-projecting	Human A19	Occipital_cortex	82	26775	112307
92	Deep-layer near-projecting	Human A38	Temporal_cortex	47	34466	403268
92	Deep-layer near-projecting	Human ITG	Temporal_cortex	69	26596	403268
92	Deep-layer near-projecting	Human M1C	Frontal_cortex	104	110246	310434
92	Deep-layer near-projecting	Human V2	Occipital_cortex	101	29649	112307
92	Deep-layer near-projecting	Human Ig	Temporal_cortex	183	35308	403268
92	Deep-layer near-projecting	Human Pro	Occipital_cortex	61	25284	112307
92	Deep-layer near-projecting	Human A35-A36	Temporal_cortex	15	21708	403268
92	Deep-layer near-projecting	Human BM	Amygdala	14	26270	185429
92	Deep-layer near-projecting	Human LEC	Temporal_cortex	3	29852	403268
92	Deep-layer near-projecting	Human CA1U-CA2U-CA3U	Hippocampus	3	31168	237728
92	Deep-layer near-projecting	Human Sub	Hippocampus	33	27772	237728
92	Deep-layer near-projecting	Human FI	Frontal_cortex	7	32607	310434
92	Deep-layer near-projecting	Human A44-A45	Frontal_cortex	6	35694	310434
92	Deep-layer near-projecting	Human Pir	Paleocortex	2	32175	61436
92	Deep-layer near-projecting	Human HTHma-HTHtub	Hypothalamus	1	16512	110066
92	Deep-layer near-projecting	Human CA1R-CA2R-CA3R	Hippocampus	16	21695	237728
92	Deep-layer near-projecting	Human A29-A30	Limbic_cortex	1	31649	125352
92	Deep-layer near-projecting	Human A23	Limbic_cortex	7	32979	125352
93	Deep-layer near-projecting	Human S1C	Parietal_cortex	114	35453	143001
93	Deep-layer near-projecting	Human M1C	Frontal_cortex	631	110246	310434
93	Deep-layer near-projecting	Human A43	Parietal_cortex	92	39028	143001
93	Deep-layer near-projecting	Human A46	Frontal_cortex	157	27923	310434
93	Deep-layer near-projecting	Human A44-A45	Frontal_cortex	183	35694	310434
93	Deep-layer near-projecting	Human A13	Frontal_cortex	80	32634	310434
93	Deep-layer near-projecting	Human Cla	BasalForebrain	12	27853	186315
93	Deep-layer near-projecting	Human A23	Limbic_cortex	336	32979	125352
93	Deep-layer near-projecting	Human A40	Parietal_cortex	20	35993	143001
93	Deep-layer near-projecting	Human Ig	Temporal_cortex	15	35308	403268
93	Deep-layer near-projecting	Human Pir	Paleocortex	10	32175	61436
93	Deep-layer near-projecting	Human A29-A30	Limbic_cortex	207	31649	125352
93	Deep-layer near-projecting	Human Pro	Occipital_cortex	40	25284	112307
93	Deep-layer near-projecting	Human Idg	Temporal_cortex	16	36450	403268
93	Deep-layer near-projecting	Human A5-A7	Parietal_cortex	24	32527	143001
93	Deep-layer near-projecting	Human TH-TL	Limbic_cortex	7	32230	125352
93	Deep-layer near-projecting	Human V2	Occipital_cortex	36	29649	112307
93	Deep-layer near-projecting	Human MTG	Temporal_cortex	31	85093	403268
93	Deep-layer near-projecting	Human A32	Frontal_cortex	25	22757	310434
93	Deep-layer near-projecting	Human V1C	Occipital_cortex	16	30599	112307
93	Deep-layer near-projecting	Human A19	Occipital_cortex	10	26775	112307
93	Deep-layer near-projecting	Human Sub	Hippocampus	11	27772	237728
93	Deep-layer near-projecting	Human A25	Frontal_cortex	16	35100	310434
93	Deep-layer near-projecting	Human ACC	Limbic_cortex	19	28494	125352
93	Deep-layer near-projecting	Human FI	Frontal_cortex	3	32607	310434
93	Deep-layer near-projecting	Human STG	Temporal_cortex	16	27340	403268
93	Deep-layer near-projecting	Human A1C	Temporal_cortex	1	30175	403268
93	Deep-layer near-projecting	Human HTHso	Hypothalamus	16	9535	110066
93	Deep-layer near-projecting	Human ITG	Temporal_cortex	17	26596	403268
93	Deep-layer near-projecting	Human A35-A36	Temporal_cortex	3	21708	403268
93	Deep-layer near-projecting	Human TF	Temporal_cortex	17	29403	403268
93	Deep-layer near-projecting	Human BNST	Amygdala	6	31259	185429
93	Deep-layer near-projecting	Human SEP	BasalForebrain	11	20447	186315
93	Deep-layer near-projecting	Human LEC	Temporal_cortex	1	29852	403268
93	Deep-layer near-projecting	Human A14	Frontal_cortex	4	13473	310434
93	Deep-layer near-projecting	Human CEN	Amygdala	1	30013	185429
93	Deep-layer near-projecting	Human AON	Paleocortex	6	29261	61436
93	Deep-layer near-projecting	Human A38	Temporal_cortex	3	34466	403268
93	Deep-layer near-projecting	Human SI	BasalForebrain	2	33357	186315
93	Deep-layer near-projecting	Human BM	Amygdala	2	26270	185429
94	Deep-layer near-projecting	Human MTG	Temporal_cortex	459	85093	403268
94	Deep-layer near-projecting	Human CEN	Amygdala	5	30013	185429
94	Deep-layer near-projecting	Human TF	Temporal_cortex	167	29403	403268
94	Deep-layer near-projecting	Human V2	Occipital_cortex	159	29649	112307
94	Deep-layer near-projecting	Human M1C	Frontal_cortex	86	110246	310434
94	Deep-layer near-projecting	Human A43	Parietal_cortex	46	39028	143001
94	Deep-layer near-projecting	Human Ig	Temporal_cortex	92	35308	403268
94	Deep-layer near-projecting	Human CA1R-CA2R-CA3R	Hippocampus	36	21695	237728
94	Deep-layer near-projecting	Human TH-TL	Limbic_cortex	83	32230	125352
94	Deep-layer near-projecting	Human Pro	Occipital_cortex	112	25284	112307
94	Deep-layer near-projecting	Human ITG	Temporal_cortex	133	26596	403268
94	Deep-layer near-projecting	Human A19	Occipital_cortex	145	26775	112307
94	Deep-layer near-projecting	Human A29-A30	Limbic_cortex	17	31649	125352
94	Deep-layer near-projecting	Human A1C	Temporal_cortex	115	30175	403268
94	Deep-layer near-projecting	Human A40	Parietal_cortex	114	35993	143001
94	Deep-layer near-projecting	Human Cla	BasalForebrain	31	27853	186315
94	Deep-layer near-projecting	Human A38	Temporal_cortex	129	34466	403268
94	Deep-layer near-projecting	Human FI	Frontal_cortex	2	32607	310434
94	Deep-layer near-projecting	Human A35-A36	Temporal_cortex	23	21708	403268
94	Deep-layer near-projecting	Human Idg	Temporal_cortex	99	36450	403268
94	Deep-layer near-projecting	Human LEC	Temporal_cortex	7	29852	403268
94	Deep-layer near-projecting	Human A23	Limbic_cortex	73	32979	125352
94	Deep-layer near-projecting	Human A5-A7	Parietal_cortex	80	32527	143001
94	Deep-layer near-projecting	Human V1C	Occipital_cortex	96	30599	112307
94	Deep-layer near-projecting	Human STG	Temporal_cortex	109	27340	403268
94	Deep-layer near-projecting	Human S1C	Parietal_cortex	42	35453	143001
94	Deep-layer near-projecting	Human BM	Amygdala	45	26270	185429
94	Deep-layer near-projecting	Human Sub	Hippocampus	30	27772	237728
94	Deep-layer near-projecting	Human La	Amygdala	2	24560	185429
