roi	Clusters	n_cells_cluster	pct_cluster_per_roi	ROIGroupFine	regions	Supercluster	Cluster_ID2	Supercluster2	regions2
ITG	0	3	0.000101619131495156	CerebralCortex	Temporal_cortex	Miscellaneous	1	Misc	TempCx
CbDN	0	3	5.7642424824671e-05	Cerebellum	Cerebellum	Miscellaneous	1	Misc	CBL
LP	0	2	7.64175454684396e-05	Thalamus	Thalamus	Miscellaneous	1	Misc	Thal
Cla	0	1	2.48972986430972e-05	BasalForebrain	Basal_Forebrain	Miscellaneous	1	Misc	BasFB
DGR-CA4Rpy	0	3	0.00010073875083949	Hippocampus	Hippocampus	Miscellaneous	1	Misc	HC
LEC	0	1	3.0539013589861e-05	CerebralCortex	Temporal_cortex	Miscellaneous	1	Misc	TempCx
PB	0	3	0.000124197888635893	Pons	Pons	Miscellaneous	1	Misc	Pons
CA4C-DGC	0	3	5.32226302623876e-05	Hippocampus	Hippocampus	Miscellaneous	1	Misc	HC
GPe	0	5	9.83671060397403e-05	BasalForebrain	Basal_Forebrain	Miscellaneous	1	Misc	BasFB
CM-Pf	0	3	0.000123183050012318	Thalamus	Thalamus	Miscellaneous	1	Misc	Thal
PnRF	0	5	0.000100985619647762	Pons	Pons	Miscellaneous	1	Misc	Pons
PnEN	0	5	0.000105449637253248	Pons	Pons	Miscellaneous	1	Misc	Pons
SN	0	12	0.000201663725737333	Midbrain	Midbrain	Miscellaneous	1	Misc	MidB
GPi	0	12	0.000353273669335846	BasalForebrain	Basal_Forebrain	Miscellaneous	1	Misc	BasFB
ANC	0	2	6.38834765387932e-05	Thalamus	Thalamus	Miscellaneous	1	Misc	Thal
CA2U-CA3U	0	2	0.000160500762378621	Hippocampus	Hippocampus	Miscellaneous	1	Misc	HC
TF	0	1	3.13489451079971e-05	CerebralCortex	Temporal_cortex	Miscellaneous	1	Misc	TempCx
IC	0	2	6.19080047050084e-05	Midbrain	Midbrain	Miscellaneous	1	Misc	MidB
Ig	0	1	2.56825127770501e-05	CerebralCortex	Temporal_cortex	Miscellaneous	1	Misc	TempCx
CM	0	2	0.00015451174289246	Thalamus	Thalamus	Miscellaneous	1	Misc	Thal
SN-RN	0	5	0.000101812258195887	Midbrain	Midbrain	Miscellaneous	1	Misc	MidB
DTg	0	1	3.83215175320943e-05	Pons	Pons	Miscellaneous	1	Misc	Pons
MN	0	1	3.55176700408453e-05	Hypothalamus	Hypothalamus	Miscellaneous	1	Misc	HTH
PAG	0	2	5.91821033319524e-05	Midbrain	Midbrain	Miscellaneous	1	Misc	MidB
HTHtub	0	1	7.59128520458514e-05	Hypothalamus	Hypothalamus	Miscellaneous	1	Misc	HTH
STH	0	1	4.95982541414542e-05	Thalamus	Thalamus	Miscellaneous	1	Misc	Thal
MD-Re	0	1	7.47272455537289e-05	Thalamus	Thalamus	Miscellaneous	1	Misc	Thal
ETH	0	1	4.11065893862786e-05	Thalamus	Thalamus	Miscellaneous	1	Misc	Thal
CBV	0	2	2.78264741074658e-05	Cerebellum	Cerebellum	Miscellaneous	1	Misc	CBL
LG	0	1	2.04683150483052e-05	Thalamus	Thalamus	Miscellaneous	1	Misc	Thal
MoRF-MoEN	0	1	4.32525951557093e-05	Myelencephalon	Medulla	Miscellaneous	1	Misc	Medul
Sub	0	1	2.40569668976135e-05	Hippocampus	Hippocampus	Miscellaneous	1	Misc	HC
PN	0	1	2.97256324128296e-05	Pons	Pons	Miscellaneous	1	Misc	Pons
A1C	0	1	3.04971027752364e-05	CerebralCortex	Temporal_cortex	Miscellaneous	1	Misc	TempCx
SEP	0	1	2.4500796275879e-05	BasalForebrain	Basal_Forebrain	Miscellaneous	1	Misc	BasFB
CEN	0	1	2.34197522190215e-05	Amygdala	Amygdala	Miscellaneous	1	Misc	Amyg
TH-TL	0	1	2.45839172013669e-05	CerebralCortex	Limbic_cortex	Miscellaneous	1	Misc	LimCx
A25	0	1	2.64781422935367e-05	CerebralCortex	Frontal_cortex	Miscellaneous	1	Misc	FrCx
IO	0	2	9.28763815361753e-05	Myelencephalon	Medulla	Miscellaneous	1	Misc	Medul
PAG-DR	0	1	7.09521782318717e-05	Midbrain	Midbrain	Miscellaneous	1	Misc	MidB
FI	0	1	2.8613121977739e-05	CerebralCortex	Frontal_cortex	Miscellaneous	1	Misc	FrCx
Idg	0	1	2.51914550584442e-05	CerebralCortex	Temporal_cortex	Miscellaneous	1	Misc	TempCx
CA1	0	1	2.55447416149386e-05	Hippocampus	Hippocampus	Miscellaneous	1	Misc	HC
Pu	0	1	2.90562529056253e-05	BasalForebrain	Basal_Forebrain	Miscellaneous	1	Misc	BasFB
MTG	0	1	9.3195776367415e-06	CerebralCortex	Temporal_cortex	Miscellaneous	1	Misc	TempCx
GPi	1	152	0.00447479981158738	BasalForebrain	Basal_Forebrain	Miscellaneous	2	Misc	BasFB
PB	1	60	0.00248395777271786	Pons	Pons	Miscellaneous	2	Misc	Pons
CbDN	1	187	0.00359304448073782	Cerebellum	Cerebellum	Miscellaneous	2	Misc	CBL
Pir	1	7	0.000189491351073333	CerebralCortex	Paleo_cortex	Miscellaneous	2	Misc	PalCx
PAG	1	40	0.00118364206663905	Midbrain	Midbrain	Miscellaneous	2	Misc	MidB
ANC	1	34	0.00108601910115949	Thalamus	Thalamus	Miscellaneous	2	Misc	Thal
MN	1	108	0.0038359083644113	Hypothalamus	Hypothalamus	Miscellaneous	2	Misc	HTH
VA	1	17	0.00198296978887204	Thalamus	Thalamus	Miscellaneous	2	Misc	Thal
SN	1	184	0.00309217712797244	Midbrain	Midbrain	Miscellaneous	2	Misc	MidB
MD-Re	1	14	0.0010461814377522	Thalamus	Thalamus	Miscellaneous	2	Misc	Thal
CA3R	1	5	0.000619041723412158	Hippocampus	Hippocampus	Miscellaneous	2	Misc	HC
A35-A36	1	4	0.000168548794876117	CerebralCortex	Temporal_cortex	Miscellaneous	2	Misc	TempCx
STH	1	24	0.0011903580993949	Thalamus	Thalamus	Miscellaneous	2	Misc	Thal
V1C	1	9	0.000268785091386931	CerebralCortex	Occipital_cortex	Miscellaneous	2	Misc	OccCx
SpC	1	202	0.00835055808185201	SpinalCord	SpC	Miscellaneous	2	Misc	SC
SN-RN	1	79	0.00160863367949501	Midbrain	Midbrain	Miscellaneous	2	Misc	MidB
PnEN	1	73	0.00153956470389742	Pons	Pons	Miscellaneous	2	Misc	Pons
TF	1	7	0.00021944261575598	CerebralCortex	Temporal_cortex	Miscellaneous	2	Misc	TempCx
CA4C-DGC	1	23	0.000408040165344971	Hippocampus	Hippocampus	Miscellaneous	2	Misc	HC
VPL	1	8	0.00116329794968736	Thalamus	Thalamus	Miscellaneous	2	Misc	Thal
CMN	1	2	5.21770890402025e-05	Amygdala	Amygdala	Miscellaneous	2	Misc	Amyg
A44-A45	1	4	0.00010455056326616	CerebralCortex	Frontal_cortex	Miscellaneous	2	Misc	FrCx
DTg	1	12	0.000459858210385131	Pons	Pons	Miscellaneous	2	Misc	Pons
LP-VPL	1	12	0.000679501698754247	Thalamus	Thalamus	Miscellaneous	2	Misc	Thal
A38	1	9	0.000239094628340683	CerebralCortex	Temporal_cortex	Miscellaneous	2	Misc	TempCx
MG	1	5	0.000351469141009419	Thalamus	Thalamus	Miscellaneous	2	Misc	Thal
IC	1	25	0.000773850058812605	Midbrain	Midbrain	Miscellaneous	2	Misc	MidB
SEP	1	50	0.00122503981379395	BasalForebrain	Basal_Forebrain	Miscellaneous	2	Misc	BasFB
ACC	1	7	0.00021768199769879	CerebralCortex	Limbic_cortex	Miscellaneous	2	Misc	LimCx
MoRF-MoEN	1	35	0.00151384083044983	Myelencephalon	Medulla	Miscellaneous	2	Misc	Medul
CA1	1	53	0.00135387130559174	Hippocampus	Hippocampus	Miscellaneous	2	Misc	HC
IO	1	58	0.00269341506454909	Myelencephalon	Medulla	Miscellaneous	2	Misc	Medul
PnRF	1	106	0.00214089513653256	Pons	Pons	Miscellaneous	2	Misc	Pons
DGU-CA4Upy	1	12	0.000339462517680339	Hippocampus	Hippocampus	Miscellaneous	2	Misc	HC
CBV	1	31	0.000431310348665721	Cerebellum	Cerebellum	Miscellaneous	2	Misc	CBL
DGR-CA4Rpy	1	18	0.000604432505036938	Hippocampus	Hippocampus	Miscellaneous	2	Misc	HC
Pul	1	34	0.000731922588422707	Thalamus	Thalamus	Miscellaneous	2	Misc	Thal
Cla	1	47	0.00117017303622557	BasalForebrain	Basal_Forebrain	Miscellaneous	2	Misc	BasFB
GPe	1	77	0.001514853433012	BasalForebrain	Basal_Forebrain	Miscellaneous	2	Misc	BasFB
MTG	1	51	0.000475298459473817	CerebralCortex	Temporal_cortex	Miscellaneous	2	Misc	TempCx
CA1R-CA2R-CA3R	1	14	0.000487397298426403	Hippocampus	Hippocampus	Miscellaneous	2	Misc	HC
A46	1	4	0.000128762272654112	CerebralCortex	Frontal_cortex	Miscellaneous	2	Misc	FrCx
TH-TL	1	11	0.000270423089215036	CerebralCortex	Limbic_cortex	Miscellaneous	2	Misc	LimCx
LEC	1	12	0.000366468163078333	CerebralCortex	Temporal_cortex	Miscellaneous	2	Misc	TempCx
ETH	1	14	0.000575492251407901	Thalamus	Thalamus	Miscellaneous	2	Misc	Thal
PAG-DR	1	18	0.00127713920817369	Midbrain	Midbrain	Miscellaneous	2	Misc	MidB
CM-Pf	1	10	0.000410610166707728	Thalamus	Thalamus	Miscellaneous	2	Misc	Thal
ITG	1	10	0.000338730438317187	CerebralCortex	Temporal_cortex	Miscellaneous	2	Misc	TempCx
HTHma	1	2	0.000198039409842559	Hypothalamus	Hypothalamus	Miscellaneous	2	Misc	HTH
STG	1	19	0.000468384074941452	CerebralCortex	Temporal_cortex	Miscellaneous	2	Misc	TempCx
A43	1	5	0.000116729700705047	CerebralCortex	Parietal_cortex	Miscellaneous	2	Misc	ParCx
HTHpo-HTHso	1	5	0.000249662955010736	Hypothalamus	Hypothalamus	Miscellaneous	2	Misc	HTH
MD	1	7	0.000334672021419009	Thalamus	Thalamus	Miscellaneous	2	Misc	Thal
NAC	1	3	9.95619275189168e-05	BasalForebrain	Basal_Forebrain	Miscellaneous	2	Misc	BasFB
Pu	1	10	0.000290562529056253	BasalForebrain	Basal_Forebrain	Miscellaneous	2	Misc	BasFB
BM	1	9	0.000289482148600836	Amygdala	Amygdala	Miscellaneous	2	Misc	Amyg
CEN	1	23	0.000538654301037495	Amygdala	Amygdala	Miscellaneous	2	Misc	Amyg
PN	1	54	0.0016051841502928	Pons	Pons	Miscellaneous	2	Misc	Pons
PnAN	1	22	0.000942224506402844	Pons	Pons	Miscellaneous	2	Misc	Pons
Ig	1	8	0.000205460102216401	CerebralCortex	Temporal_cortex	Miscellaneous	2	Misc	TempCx
M1C	1	5	4.28904748833379e-05	CerebralCortex	Frontal_cortex	Miscellaneous	2	Misc	FrCx
MoAN	1	51	0.00187431091510474	Myelencephalon	Medulla	Miscellaneous	2	Misc	Medul
MoSR	1	16	0.00117448432797475	Myelencephalon	Medulla	Miscellaneous	2	Misc	Medul
CA1C-CA3C	1	5	0.000135552784254189	Hippocampus	Hippocampus	Miscellaneous	2	Misc	HC
CoA	1	8	0.000742252737056968	Amygdala	Amygdala	Miscellaneous	2	Misc	Amyg
A5-A7	1	1	2.8336639274582e-05	CerebralCortex	Parietal_cortex	Miscellaneous	2	Misc	ParCx
SI	1	7	0.0001832220913493	BasalForebrain	Basal_Forebrain	Miscellaneous	2	Misc	BasFB
Sub	1	11	0.000264626635873749	Hippocampus	Hippocampus	Miscellaneous	2	Misc	HC
S1C	1	4	0.000104744946056353	CerebralCortex	Parietal_cortex	Miscellaneous	2	Misc	ParCx
SC	1	10	0.000334369879961213	Midbrain	Midbrain	Miscellaneous	2	Misc	MidB
HTHma-HTHtub	1	2	0.000106791969243913	Hypothalamus	Hypothalamus	Miscellaneous	2	Misc	HTH
HTHso-HTHtub	1	7	0.000417835611532263	Hypothalamus	Hypothalamus	Miscellaneous	2	Misc	HTH
RN	1	7	0.00148493848112007	Midbrain	Midbrain	Miscellaneous	2	Misc	MidB
HTHtub	1	22	0.00167008274500873	Hypothalamus	Hypothalamus	Miscellaneous	2	Misc	HTH
CA1U-CA2U-CA3U	1	5	0.000131887842578671	Hippocampus	Hippocampus	Miscellaneous	2	Misc	HC
LG	1	19	0.000388897985917799	Thalamus	Thalamus	Miscellaneous	2	Misc	Thal
A1C	1	4	0.000121988411100945	CerebralCortex	Temporal_cortex	Miscellaneous	2	Misc	TempCx
A19	1	8	0.000269596279571342	CerebralCortex	Occipital_cortex	Miscellaneous	2	Misc	OccCx
V2	1	3	9.19173968993198e-05	CerebralCortex	Occipital_cortex	Miscellaneous	2	Misc	OccCx
VLN	1	16	0.000590166353140792	Thalamus	Thalamus	Miscellaneous	2	Misc	Thal
BNST	1	12	0.000343514728193971	Amygdala	Amygdala	Miscellaneous	2	Misc	Amyg
LP	1	18	0.000687757909215956	Thalamus	Thalamus	Miscellaneous	2	Misc	Thal
MEC	1	6	0.000119137444898932	CerebralCortex	Temporal_cortex	Miscellaneous	2	Misc	TempCx
Pro	1	5	0.000178246764821219	CerebralCortex	Occipital_cortex	Miscellaneous	2	Misc	OccCx
A25	1	1	2.64781422935367e-05	CerebralCortex	Frontal_cortex	Miscellaneous	2	Misc	FrCx
A29-A30	1	1	2.93444450965432e-05	CerebralCortex	Limbic_cortex	Miscellaneous	2	Misc	LimCx
HTHpo	1	7	0.000467320915948995	Hypothalamus	Hypothalamus	Miscellaneous	2	Misc	HTH
BL	1	3	8.50219640073686e-05	Amygdala	Amygdala	Miscellaneous	2	Misc	Amyg
CBL	1	7	0.00024975024975025	Cerebellum	Cerebellum	Miscellaneous	2	Misc	CBL
A32	1	1	4.03095775556272e-05	CerebralCortex	Frontal_cortex	Miscellaneous	2	Misc	FrCx
Idg	1	3	7.55743651753325e-05	CerebralCortex	Temporal_cortex	Miscellaneous	2	Misc	TempCx
CM	1	15	0.00115883807169345	Thalamus	Thalamus	Miscellaneous	2	Misc	Thal
A13	1	2	5.72754088032303e-05	CerebralCortex	Frontal_cortex	Miscellaneous	2	Misc	FrCx
A14	1	1	6.96767001114827e-05	CerebralCortex	Frontal_cortex	Miscellaneous	2	Misc	FrCx
CA2U-CA3U	1	4	0.000321001524757243	Hippocampus	Hippocampus	Miscellaneous	2	Misc	HC
PTR	1	8	0.000309178743961353	Midbrain	Midbrain	Miscellaneous	2	Misc	MidB
A40	1	4	0.000102424909738048	CerebralCortex	Parietal_cortex	Miscellaneous	2	Misc	ParCx
AON	1	2	6.4040986231188e-05	CerebralCortex	Paleo_cortex	Miscellaneous	2	Misc	PalCx
A23	1	2	5.65626855963121e-05	CerebralCortex	Limbic_cortex	Miscellaneous	2	Misc	LimCx
CbDN	2	34	0.000653280814679604	Cerebellum	Cerebellum	Miscellaneous	3	Misc	CBL
PTR	2	1	3.86473429951691e-05	Midbrain	Midbrain	Miscellaneous	3	Misc	MidB
DGR-CA4	2	2	0.000192104504850639	Hippocampus	Hippocampus	Miscellaneous	3	Misc	HC
GPe	2	38	0.000747590005902026	BasalForebrain	Basal_Forebrain	Miscellaneous	3	Misc	BasFB
ITG	2	1	3.38730438317187e-05	CerebralCortex	Temporal_cortex	Miscellaneous	3	Misc	TempCx
SN	2	32	0.000537769935299555	Midbrain	Midbrain	Miscellaneous	3	Misc	MidB
TH-TL	2	10	0.000245839172013669	CerebralCortex	Limbic_cortex	Miscellaneous	3	Misc	LimCx
CM-Pf	2	7	0.000287427116695409	Thalamus	Thalamus	Miscellaneous	3	Misc	Thal
BL	2	3	8.50219640073686e-05	Amygdala	Amygdala	Miscellaneous	3	Misc	Amyg
A40	2	5	0.00012803113717256	CerebralCortex	Parietal_cortex	Miscellaneous	3	Misc	ParCx
MN	2	19	0.000674835730776061	Hypothalamus	Hypothalamus	Miscellaneous	3	Misc	HTH
PnEN	2	13	0.000274169056858444	Pons	Pons	Miscellaneous	3	Misc	Pons
VA	2	6	0.000699871690190132	Thalamus	Thalamus	Miscellaneous	3	Misc	Thal
ETH	2	2	8.22131787725573e-05	Thalamus	Thalamus	Miscellaneous	3	Misc	Thal
MTG	2	15	0.000139793664551123	CerebralCortex	Temporal_cortex	Miscellaneous	3	Misc	TempCx
SEP	2	4	9.80031851035159e-05	BasalForebrain	Basal_Forebrain	Miscellaneous	3	Misc	BasFB
DTg	2	4	0.000153286070128377	Pons	Pons	Miscellaneous	3	Misc	Pons
Cla	2	14	0.000348562181003361	BasalForebrain	Basal_Forebrain	Miscellaneous	3	Misc	BasFB
CA1U-CA2U-CA3U	2	4	0.000105510274062937	Hippocampus	Hippocampus	Miscellaneous	3	Misc	HC
MEC	2	2	3.97124816329772e-05	CerebralCortex	Temporal_cortex	Miscellaneous	3	Misc	TempCx
CEN	2	10	0.000234197522190215	Amygdala	Amygdala	Miscellaneous	3	Misc	Amyg
M1C	2	3	2.57342849300027e-05	CerebralCortex	Frontal_cortex	Miscellaneous	3	Misc	FrCx
Sub	2	5	0.000120284834488068	Hippocampus	Hippocampus	Miscellaneous	3	Misc	HC
S1C	2	3	7.85587095422646e-05	CerebralCortex	Parietal_cortex	Miscellaneous	3	Misc	ParCx
IC	2	10	0.000309540023525042	Midbrain	Midbrain	Miscellaneous	3	Misc	MidB
PN	2	10	0.000297256324128296	Pons	Pons	Miscellaneous	3	Misc	Pons
ACC	2	2	6.21948564853687e-05	CerebralCortex	Limbic_cortex	Miscellaneous	3	Misc	LimCx
IO	2	8	0.000371505526144701	Myelencephalon	Medulla	Miscellaneous	3	Misc	Medul
GPi	2	37	0.00108926048045219	BasalForebrain	Basal_Forebrain	Miscellaneous	3	Misc	BasFB
A19	2	4	0.000134798139785671	CerebralCortex	Occipital_cortex	Miscellaneous	3	Misc	OccCx
HTHtub	2	6	0.000455477112275108	Hypothalamus	Hypothalamus	Miscellaneous	3	Misc	HTH
BM	2	3	9.64940495336121e-05	Amygdala	Amygdala	Miscellaneous	3	Misc	Amyg
Pro	2	2	7.12987059284874e-05	CerebralCortex	Occipital_cortex	Miscellaneous	3	Misc	OccCx
Pul	2	17	0.000365961294211353	Thalamus	Thalamus	Miscellaneous	3	Misc	Thal
A38	2	2	5.3132139631263e-05	CerebralCortex	Temporal_cortex	Miscellaneous	3	Misc	TempCx
CM	2	13	0.00100432632880099	Thalamus	Thalamus	Miscellaneous	3	Misc	Thal
VLN	2	12	0.000442624764855594	Thalamus	Thalamus	Miscellaneous	3	Misc	Thal
CA1	2	13	0.000332081640994201	Hippocampus	Hippocampus	Miscellaneous	3	Misc	HC
STG	2	8	0.000197214347343769	CerebralCortex	Temporal_cortex	Miscellaneous	3	Misc	TempCx
PnAN	2	4	0.000171313546618699	Pons	Pons	Miscellaneous	3	Misc	Pons
PnRF	2	25	0.000504928098238811	Pons	Pons	Miscellaneous	3	Misc	Pons
Pu	2	1	2.90562529056253e-05	BasalForebrain	Basal_Forebrain	Miscellaneous	3	Misc	BasFB
DGR-CA4Rpy	2	7	0.000235057085292142	Hippocampus	Hippocampus	Miscellaneous	3	Misc	HC
CA4C-DGC	2	7	0.000124186137278904	Hippocampus	Hippocampus	Miscellaneous	3	Misc	HC
TF	2	1	3.13489451079971e-05	CerebralCortex	Temporal_cortex	Miscellaneous	3	Misc	TempCx
LG	2	10	0.000204683150483052	Thalamus	Thalamus	Miscellaneous	3	Misc	Thal
PAG	2	18	0.000532638929987572	Midbrain	Midbrain	Miscellaneous	3	Misc	MidB
A43	2	1	2.33459401410095e-05	CerebralCortex	Parietal_cortex	Miscellaneous	3	Misc	ParCx
FI	2	2	5.7226243955478e-05	CerebralCortex	Frontal_cortex	Miscellaneous	3	Misc	FrCx
SN-RN	2	22	0.000447973936061902	Midbrain	Midbrain	Miscellaneous	3	Misc	MidB
CMN	2	3	7.82656335603037e-05	Amygdala	Amygdala	Miscellaneous	3	Misc	Amyg
CA2U-CA3U	2	2	0.000160500762378621	Hippocampus	Hippocampus	Miscellaneous	3	Misc	HC
CoA	2	3	0.000278344776396363	Amygdala	Amygdala	Miscellaneous	3	Misc	Amyg
A46	2	2	6.43811363270562e-05	CerebralCortex	Frontal_cortex	Miscellaneous	3	Misc	FrCx
DGU-CA4Upy	2	4	0.000113154172560113	Hippocampus	Hippocampus	Miscellaneous	3	Misc	HC
La	2	4	0.000138007176373171	Amygdala	Amygdala	Miscellaneous	3	Misc	Amyg
MoAN	2	9	0.000330760749724366	Myelencephalon	Medulla	Miscellaneous	3	Misc	Medul
CBV	2	25	0.000347830926343323	Cerebellum	Cerebellum	Miscellaneous	3	Misc	CBL
VPL	2	3	0.000436236731132761	Thalamus	Thalamus	Miscellaneous	3	Misc	Thal
HTHpo	2	2	0.000133520261699713	Hypothalamus	Hypothalamus	Miscellaneous	3	Misc	HTH
SI	2	3	7.85237534354142e-05	BasalForebrain	Basal_Forebrain	Miscellaneous	3	Misc	BasFB
BNST	2	1	2.86262273494976e-05	Amygdala	Amygdala	Miscellaneous	3	Misc	Amyg
MoRF-MoEN	2	6	0.000259515570934256	Myelencephalon	Medulla	Miscellaneous	3	Misc	Medul
ANC	2	8	0.000255533906155173	Thalamus	Thalamus	Miscellaneous	3	Misc	Thal
LP	2	15	0.000573131591013297	Thalamus	Thalamus	Miscellaneous	3	Misc	Thal
SpC	2	8	0.000330715171558495	SpinalCord	SpC	Miscellaneous	3	Misc	SC
A44-A45	2	3	7.84129224496197e-05	CerebralCortex	Frontal_cortex	Miscellaneous	3	Misc	FrCx
PB	2	8	0.000331194369695715	Pons	Pons	Miscellaneous	3	Misc	Pons
STH	2	7	0.00034718777899018	Thalamus	Thalamus	Miscellaneous	3	Misc	Thal
NAC	2	2	6.63746183459445e-05	BasalForebrain	Basal_Forebrain	Miscellaneous	3	Misc	BasFB
MD-Re	2	5	0.000373636227768644	Thalamus	Thalamus	Miscellaneous	3	Misc	Thal
CBL	2	2	7.13572142143571e-05	Cerebellum	Cerebellum	Miscellaneous	3	Misc	CBL
MD	2	7	0.000334672021419009	Thalamus	Thalamus	Miscellaneous	3	Misc	Thal
RN	2	1	0.000212134068731438	Midbrain	Midbrain	Miscellaneous	3	Misc	MidB
A5-A7	2	3	8.50099178237461e-05	CerebralCortex	Parietal_cortex	Miscellaneous	3	Misc	ParCx
Pir	2	2	5.41403860209523e-05	CerebralCortex	Paleo_cortex	Miscellaneous	3	Misc	PalCx
MG	2	1	7.02938282018839e-05	Thalamus	Thalamus	Miscellaneous	3	Misc	Thal
A1C	2	1	3.04971027752364e-05	CerebralCortex	Temporal_cortex	Miscellaneous	3	Misc	TempCx
MoSR	2	3	0.000220215811495265	Myelencephalon	Medulla	Miscellaneous	3	Misc	Medul
A13	2	2	5.72754088032303e-05	CerebralCortex	Frontal_cortex	Miscellaneous	3	Misc	FrCx
PAG-DR	2	2	0.000141904356463743	Midbrain	Midbrain	Miscellaneous	3	Misc	MidB
LEC	2	1	3.0539013589861e-05	CerebralCortex	Temporal_cortex	Miscellaneous	3	Misc	TempCx
CA1R-CA2R-CA3R	2	1	3.48140927447431e-05	Hippocampus	Hippocampus	Miscellaneous	3	Misc	HC
LP-VPL	2	5	0.00028312570781427	Thalamus	Thalamus	Miscellaneous	3	Misc	Thal
V2	2	3	9.19173968993198e-05	CerebralCortex	Occipital_cortex	Miscellaneous	3	Misc	OccCx
Idg	2	1	2.51914550584442e-05	CerebralCortex	Temporal_cortex	Miscellaneous	3	Misc	TempCx
V1C	2	3	8.95950304623104e-05	CerebralCortex	Occipital_cortex	Miscellaneous	3	Misc	OccCx
A23	2	1	2.82813427981561e-05	CerebralCortex	Limbic_cortex	Miscellaneous	3	Misc	LimCx
HTHma-HTHtub	2	1	5.33959846219564e-05	Hypothalamus	Hypothalamus	Miscellaneous	3	Misc	HTH
Pir	3	2	5.41403860209523e-05	CerebralCortex	Paleo_cortex	Miscellaneous	4	Misc	PalCx
SN	3	15	0.000252079657171666	Midbrain	Midbrain	Miscellaneous	4	Misc	MidB
TF	3	1	3.13489451079971e-05	CerebralCortex	Temporal_cortex	Miscellaneous	4	Misc	TempCx
MoAN	3	33	0.00121278941565601	Myelencephalon	Medulla	Miscellaneous	4	Misc	Medul
GPi	3	14	0.000412152614225153	BasalForebrain	Basal_Forebrain	Miscellaneous	4	Misc	BasFB
A25	3	2	5.29562845870734e-05	CerebralCortex	Frontal_cortex	Miscellaneous	4	Misc	FrCx
VA	3	5	0.000583226408491777	Thalamus	Thalamus	Miscellaneous	4	Misc	Thal
TH-TL	3	2	4.91678344027337e-05	CerebralCortex	Limbic_cortex	Miscellaneous	4	Misc	LimCx
CM-Pf	3	17	0.000698037283403137	Thalamus	Thalamus	Miscellaneous	4	Misc	Thal
Sub	3	6	0.000144341801385681	Hippocampus	Hippocampus	Miscellaneous	4	Misc	HC
LG	3	8	0.000163746520386442	Thalamus	Thalamus	Miscellaneous	4	Misc	Thal
PnRF	3	19	0.000383745354661496	Pons	Pons	Miscellaneous	4	Misc	Pons
CA1U-CA2U-CA3U	3	3	7.91327055472027e-05	Hippocampus	Hippocampus	Miscellaneous	4	Misc	HC
PnEN	3	45	0.000949046735279231	Pons	Pons	Miscellaneous	4	Misc	Pons
MTG	3	7	6.52370434571905e-05	CerebralCortex	Temporal_cortex	Miscellaneous	4	Misc	TempCx
MN	3	16	0.000568282720653525	Hypothalamus	Hypothalamus	Miscellaneous	4	Misc	HTH
PN	3	7	0.000208079426889807	Pons	Pons	Miscellaneous	4	Misc	Pons
A1C	3	2	6.09942055504727e-05	CerebralCortex	Temporal_cortex	Miscellaneous	4	Misc	TempCx
PnAN	3	6	0.000256970319928048	Pons	Pons	Miscellaneous	4	Misc	Pons
LP-VPL	3	3	0.000169875424688562	Thalamus	Thalamus	Miscellaneous	4	Misc	Thal
MD-Re	3	5	0.000373636227768644	Thalamus	Thalamus	Miscellaneous	4	Misc	Thal
Pul	3	8	0.000172217079628872	Thalamus	Thalamus	Miscellaneous	4	Misc	Thal
ETH	3	1	4.11065893862786e-05	Thalamus	Thalamus	Miscellaneous	4	Misc	Thal
PAG	3	1	2.95910516659762e-05	Midbrain	Midbrain	Miscellaneous	4	Misc	MidB
HTHma	3	1	9.90197049212793e-05	Hypothalamus	Hypothalamus	Miscellaneous	4	Misc	HTH
ANC	3	6	0.00019165042961638	Thalamus	Thalamus	Miscellaneous	4	Misc	Thal
VPL	3	4	0.000581648974843682	Thalamus	Thalamus	Miscellaneous	4	Misc	Thal
CA1	3	9	0.000229902674534447	Hippocampus	Hippocampus	Miscellaneous	4	Misc	HC
CbDN	3	14	0.000268997982515131	Cerebellum	Cerebellum	Miscellaneous	4	Misc	CBL
HTHtub	3	2	0.000151825704091703	Hypothalamus	Hypothalamus	Miscellaneous	4	Misc	HTH
Pu	3	6	0.000174337517433752	BasalForebrain	Basal_Forebrain	Miscellaneous	4	Misc	BasFB
Ig	3	3	7.70475383311503e-05	CerebralCortex	Temporal_cortex	Miscellaneous	4	Misc	TempCx
VLN	3	15	0.000553280956069492	Thalamus	Thalamus	Miscellaneous	4	Misc	Thal
SN-RN	3	15	0.00030543677458766	Midbrain	Midbrain	Miscellaneous	4	Misc	MidB
CA1R-CA2R-CA3R	3	4	0.000139256370978972	Hippocampus	Hippocampus	Miscellaneous	4	Misc	HC
Cla	3	14	0.000348562181003361	BasalForebrain	Basal_Forebrain	Miscellaneous	4	Misc	BasFB
HTHpo-HTHso	3	1	4.99325910021471e-05	Hypothalamus	Hypothalamus	Miscellaneous	4	Misc	HTH
SpC	3	9	0.000372054568003307	SpinalCord	SpC	Miscellaneous	4	Misc	SC
MoRF-MoEN	3	8	0.000346020761245675	Myelencephalon	Medulla	Miscellaneous	4	Misc	Medul
A29-A30	3	1	2.93444450965432e-05	CerebralCortex	Limbic_cortex	Miscellaneous	4	Misc	LimCx
